Area of Visit,Times Visited Japan,Percentage
Shizuoka,4,5.2249
Shizuoka,5,5.6303
Shizuoka,6~9,8.5784
Shizuoka,10~19,7.3269
Shizuoka,20~,5.8841
Aichi,1,31.706
Aichi,2,13.3834
Aichi,3,10.5466
Aichi,4,7.372
Aichi,5,8.8483
Aichi,6~9,10.9753
Aichi,10~19,11.4291
Aichi,20~,5.7394
Mie,1,16.7924
Mie,2,13.2581
Mie,3,10.2254
Mie,4,8.7052
Mie,5,10.8129
Mie,6~9,13.5101
Mie,10~19,18.7824
Mie,20~,7.9135
Shiga,1,25.2175
Shiga,2,12.3734
Shiga,3,14.6242
Shiga,4,7.6508
Shiga,5,6.6428
Shiga,6~9,12.2685
Shiga,10~19,12.4872
Shiga,20~,8.7357
Kyoto,1,52.843
Kyoto,2,16.6391
Kyoto,3,8.9509
Kyoto,4,5.3929
Kyoto,5,4.1952
Kyoto,6~9,5.633
Kyoto,10~19,4.2754
Kyoto,20~,2.0704
Osaka,1,45.8222
Osaka,2,17.4896
Osaka,3,9.7097
Osaka,4,6.3955
Osaka,5,4.9849
Osaka,6~9,6.9122
Osaka,10~19,5.6768
Osaka,20~,3.0092
Hyogo,1,36.4591
Hyogo,2,17.3746
Hyogo,3,11.0202
Hyogo,4,7.5807
Hyogo,5,6.2348
Hyogo,6~9,8.6997
Hyogo,10~19,8.3274
Hyogo,20~,4.3034
Nara,1,60.1065
Nara,2,16.5193
Nara,3,7.3265
Nara,4,3.9855
Nara,5,2.9806
Nara,6~9,4.4566
Nara,10~19,3.0364
Nara,20~,1.5886
Wakayama,1,41.2129
Wakayama,2,12.6579
Wakayama,3,10.0081
Wakayama,4,5.5068
Wakayama,5,5.8267
Wakayama,6~9,8.9068
Wakayama,10~19,10.8908
Wakayama,20~,4.9899
Tottori,1,14.9168
Tottori,2,7.0095
Tottori,3,8.9358
Tottori,4,7.8973
Tottori,5,9.0195
Tottori,6~9,13.8891
Tottori,10~19,23.977
Tottori,20~,14.355
Shimane,1,10.9199
Shimane,2,10.031
Shimane,3,4.8182
Shimane,4,6.1078
Shimane,5,11.7942
Shimane,6~9,16.2546
Shimane,10~19,22.9114
Shimane,20~,17.1629
Okayama,1,27.8596
Okayama,2,11.1472
Okayama,3,5.5545
Okayama,4,5.9518
Okayama,5,7.1802
Okayama,6~9,15.9863
Okayama,10~19,16.7326
Okayama,20~,9.5879
Hiroshima,1,66.495
Hiroshima,2,11.6809
Hiroshima,3,5.0815
Hiroshima,4,2.6763
Hiroshima,5,2.9737
Hiroshima,6~9,4.5516
Hiroshima,10~19,3.7316
Hiroshima,20~,2.8093
Yamaguchi,1,12.8538
Yamaguchi,2,12.7115
Yamaguchi,3,7.6102
Yamaguchi,4,9.3938
Yamaguchi,5,14.7712
Yamaguchi,6~9,11.9352
Yamaguchi,10~19,18.0595
Yamaguchi,20~,12.6648
Tokushima,1,12.9993
Tokushima,2,9.4249
Tokushima,3,7.8748
Tokushima,4,4.2241
Tokushima,5,5.9518
Tokushima,6~9,14.9784
Tokushima,10~19,31.7469
Tokushima,20~,12.7998
Kagawa,1,20.9905
Kagawa,2,8.0654
Kagawa,3,7.3254
Kagawa,4,7.6105
Kagawa,5,8.1682
Kagawa,6~9,15.8898
Kagawa,10~19,20.8257
Kagawa,20~,11.1245
Ehime,1,22.3263
Ehime,2,10.514
Ehime,3,6.7142
Ehime,4,6.9425
Ehime,5,9.3076
Ehime,6~9,14.921
Ehime,10~19,21.3381
Ehime,20~,7.9364
Kochi,1,26.5797
Kochi,2,6.7921
Kochi,3,6.1498
Kochi,4,3.6586
Kochi,5,7.083
Kochi,6~9,14.6658
Kochi,10~19,26.0468
Kochi,20~,9.0242
Fukuoka,1,16.0354
Fukuoka,2,16.1917
Fukuoka,3,13.589
Fukuoka,4,10.8463
Fukuoka,5,9.9127
Fukuoka,6~9,13.2121
Fukuoka,10~19,12.9991
Fukuoka,20~,7.2137
Saga,1,11.0494
Saga,2,8.4306
Saga,3,13.3925
Saga,4,8.8656
Saga,5,9.4686
Saga,6~9,15.6954
Saga,10~19,20.4877
Saga,20~,12.6102
Nagasaki,1,22.7634
Nagasaki,2,13.0878
Nagasaki,3,10.4573
Nagasaki,4,7.8039
Nagasaki,5,8.1313
Nagasaki,6~9,15.0617
Nagasaki,10~19,15.1023
Nagasaki,20~,7.5923
Kumamoto,1,15.3964
Kumamoto,2,12.6925
Kumamoto,3,12.9222
Kumamoto,4,9.849
Kumamoto,5,11.0391
Kumamoto,6~9,16.5234
Kumamoto,10~19,14.8882
Kumamoto,20~,6.6891
Oita,1,17.6194
Oita,2,16.6832
Oita,3,13.9575
Oita,4,11.737
Oita,5,10.2806
Oita,6~9,13.4699
Oita,10~19,11.5914
Oita,20~,4.661
Miyazaki,1,12.9011
Miyazaki,2,8.7428
Miyazaki,3,9.9928
Miyazaki,4,7.3646
Miyazaki,5,12.2302
Miyazaki,6~9,20.258
Miyazaki,10~19,17.4908
Miyazaki,20~,11.0196
Kagoshima,1,16.469
Kagoshima,2,10.9078
Kagoshima,3,9.3325
Kagoshima,4,8.2867
Kagoshima,5,10.3203
Kagoshima,6~9,15.0345
Kagoshima,10~19,16.1734
Kagoshima,20~,13.4758
Okinawa,1,19.5044
Okinawa,2,20.5089
Okinawa,3,13.6922
Okinawa,4,10.1017
Okinawa,5,9.0562
Okinawa,6~9,12.6203
Okinawa,10~19,10.3827
Okinawa,20~,4.1336
Hokkaido Region,1,17.8135
Hokkaido Region,2,17.9444
Hokkaido Region,3,15.0917
Hokkaido Region,4,10.3614
Hokkaido Region,5,9.9704
Hokkaido Region,6~9,13.9748
Hokkaido Region,10~19,10.0161
Hokkaido Region,20~,4.8277
Tohoku Region,1,19.6441
Tohoku Region,2,10.5066
Tohoku Region,3,9.322
Tohoku Region,4,7.087
Tohoku Region,5,8.8864
Tohoku Region,6~9,15.0369
Tohoku Region,10~19,17.164
Tohoku Region,20~,12.353
Kanto Region,1,46.9558
Kanto Region,2,16.231
Kanto Region,3,9.1213
Kanto Region,4,5.9655
Kanto Region,5,5.1583
Kanto Region,6~9,6.8714
Kanto Region,10~19,5.9351
Kanto Region,20~,3.7617
Hokuriku-Shin'etsu Region,1,39.1966
Hokuriku-Shin'etsu Region,2,13.233
Hokuriku-Shin'etsu Region,3,8.9239
Hokuriku-Shin'etsu Region,4,6.873
Hokuriku-Shin'etsu Region,5,6.7567
Hokuriku-Shin'etsu Region,6~9,10.0257
Hokuriku-Shin'etsu Region,10~19,9.7275
Hokuriku-Shin'etsu Region,20~,5.2636
Chubu Region,1,39.1234
Chubu Region,2,14.108
Chubu Region,3,9.523
Chubu Region,4,6.2367
Chubu Region,5,7.1075
Chubu Region,6~9,9.2272
Chubu Region,10~19,9.3998
Chubu Region,20~,5.2744
Kinki Region,1,47.1263
Kinki Region,2,17.2544
Kinki Region,3,9.4914
Kinki Region,4,6.16
Kinki Region,5,4.8291
Kinki Region,6~9,6.6776
Kinki Region,10~19,5.5245
Kinki Region,20~,2.9367
Chugoku Region,1,54.9825
Chugoku Region,2,11.7521
Chugoku Region,3,5.4328
Chugoku Region,4,4.0737
Chugoku Region,5,4.5861
Chugoku Region,6~9,6.9501
Chugoku Region,10~19,7.3591
Chugoku Region,20~,4.8636
Shikoku Region,1,25.2992
Shikoku Region,2,9.558
Shikoku Region,3,7.79
Shikoku Region,4,7.0909
Shikoku Region,5,7.4297
Shikoku Region,6~9,13.9007
Shikoku Region,10~19,18.7532
Shikoku Region,20~,10.1784
Kyushu Region,1,16.8423
Kyushu Region,2,15.9215
Kyushu Region,3,13.3931
Kyushu Region,4,10.5004
Kyushu Region,5,9.8437
Kyushu Region,6~9,13.1022
Kyushu Region,10~19,12.9994
Kyushu Region,20~,7.3975
Okinawa Region,1,19.5044
Okinawa Region,2,20.5089
Okinawa Region,3,13.6922
Okinawa Region,4,10.1017
Okinawa Region,5,9.0562
Okinawa Region,6~9,12.6203
Okinawa Region,10~19,10.3827
Okinawa Region,20~,4.1336
