Area of Visit,Times Visited Japan,Percentage
Hokkaido,1,17.8135
Hokkaido,2,17.9444
Hokkaido,3,15.0917
Hokkaido,4,10.3614
Hokkaido,5,9.9704
Hokkaido,6~9,13.9748
Hokkaido,10~19,10.0161
Hokkaido,20~,4.8277
Aomori,1,21.3498
Aomori,2,8.9976
Aomori,3,9.2124
Aomori,4,5.9704
Aomori,5,9.1526
Aomori,6~9,15.3509
Aomori,10~19,17.5618
Aomori,20~,12.4045
Iwate,1,11.9261
Iwate,2,8.9499
Iwate,3,7.857
Iwate,4,4.9193
Iwate,5,9.7763
Iwate,6~9,18.6311
Iwate,10~19,25.5487
Iwate,20~,12.3915
Miyagi,1,14.1149
Miyagi,2,10.8449
Miyagi,3,9.0089
Miyagi,4,7.0446
Miyagi,5,9.7692
Miyagi,6~9,15.8642
Miyagi,10~19,19.9117
Miyagi,20~,13.4417
Akita,1,14.8299
Akita,2,9.461
Akita,3,7.6604
Akita,4,5.9508
Akita,5,9.7428
Akita,6~9,20.285
Akita,10~19,21.0757
Akita,20~,10.9944
Yamagata,1,9.076
Yamagata,2,8.4304
Yamagata,3,10.8043
Yamagata,4,7.7295
Yamagata,5,12.3252
Yamagata,6~9,18.575
Yamagata,10~19,19.736
Yamagata,20~,13.3236
Fukushima,1,18.516
Fukushima,2,12.4025
Fukushima,3,7.4923
Fukushima,4,9.6734
Fukushima,5,8.766
Fukushima,6~9,15.9415
Fukushima,10~19,17.1599
Fukushima,20~,10.0485
Ibaraki,1,21.6055
Ibaraki,2,11.6406
Ibaraki,3,8.2002
Ibaraki,4,5.5439
Ibaraki,5,6.9364
Ibaraki,6~9,15.3351
Ibaraki,10~19,16.0932
Ibaraki,20~,14.6451
Tochigi,1,42.3747
Tochigi,2,13.3021
Tochigi,3,10.303
Tochigi,4,5.6269
Tochigi,5,6.5605
Tochigi,6~9,9.1876
Tochigi,10~19,7.7718
Tochigi,20~,4.8735
Gunma,1,27.8398
Gunma,2,12.9236
Gunma,3,9.2227
Gunma,4,7.7118
Gunma,5,5.8822
Gunma,6~9,12.6826
Gunma,10~19,13.3041
Gunma,20~,10.4331
Saitama,1,25.7066
Saitama,2,14.7483
Saitama,3,12.1129
Saitama,4,9.6327
Saitama,5,7.2206
Saitama,6~9,11.7551
Saitama,10~19,12.1831
Saitama,20~,6.6407
Chiba,1,43.9349
Chiba,2,16.7564
Chiba,3,10.0528
Chiba,4,6.7662
Chiba,5,5.6156
Chiba,6~9,7.3715
Chiba,10~19,6.0569
Chiba,20~,3.4458
Tokyo,1,47.3114
Tokyo,2,16.2676
Tokyo,3,9.1238
Tokyo,4,5.9286
Tokyo,5,5.1166
Tokyo,6~9,6.7757
Tokyo,10~19,5.8704
Tokyo,20~,3.6059
Kanagawa,1,49.3219
Kanagawa,2,15.0982
Kanagawa,3,8.7385
Kanagawa,4,5.3714
Kanagawa,5,5.1352
Kanagawa,6~9,6.6511
Kanagawa,10~19,6.0396
Kanagawa,20~,3.644
Niigata,1,19.572
Niigata,2,12.0655
Niigata,3,8.7076
Niigata,4,10.6359
Niigata,5,7.6323
Niigata,6~9,14.3049
Niigata,10~19,15.8634
Niigata,20~,11.2184
Toyama,1,19.6626
Toyama,2,13.7608
Toyama,3,12.7685
Toyama,4,8.0378
Toyama,5,11.7779
Toyama,6~9,14.9237
Toyama,10~19,12.931
Toyama,20~,6.1376
Ishikawa,1,48.654
Ishikawa,2,13.941
Ishikawa,3,8.2563
Ishikawa,4,6.0515
Ishikawa,5,6.2094
Ishikawa,6~9,7.592
Ishikawa,10~19,6.4882
Ishikawa,20~,2.8077
Fukui,1,26.8735
Fukui,2,11.953
Fukui,3,6.3709
Fukui,4,5.8587
Fukui,5,9.1638
Fukui,6~9,14.2247
Fukui,10~19,16.3
Fukui,20~,9.2554
Yamanashi,1,53.6768
Yamanashi,2,16.1153
Yamanashi,3,8.3443
Yamanashi,4,4.7919
Yamanashi,5,4.3725
Yamanashi,6~9,5.591
Yamanashi,10~19,4.4812
Yamanashi,20~,2.627
Nagano,1,36.4934
Nagano,2,13.0853
Nagano,3,8.4252
Nagano,4,7.0369
Nagano,5,7.2092
Nagano,6~9,10.8133
Nagano,10~19,11.1312
Nagano,20~,5.8054
Gifu,1,35.7188
Gifu,2,12.9002
Gifu,3,10.295
Gifu,4,7.0134
Gifu,5,8.6622
Gifu,6~9,10.2507
Gifu,10~19,10.4385
Gifu,20~,4.7213
Shizuoka,1,43.2999
Shizuoka,2,15.9087
Shizuoka,3,8.1469
