Area of Visit,Places to Shop,Percentage
Tochigi,Accomodation facilities,4.4721
Tochigi,Supermarkets,58.2761
Tochigi,Convenience stores,83.7539
Tochigi,Drugstores,49.6361
Tochigi,Discount stores,28.4367
Tochigi,Outlet malls,14.1002
Tochigi,Commercial complexes in urban centers,16.9558
Tochigi,Other shopping centers,12.1388
Tochigi,Railway station boutiques,12.4187
Tochigi,Airport duty-free stores,53.5543
Tochigi,Stores at a port of call by cruise ship,0.5764
Tochigi,Other,4.3154
Tochigi,I did not go shopping.,0.7441
Gunma,Department stores,56.2571
Gunma,Consumer electronics stores,18.1314
Gunma,Fashion boutiques,33.8834
Gunma,100 Yen Shops,18.1712
Gunma,Service areas on expressways/Michi-no-eki (Road Stations),11.1073
Gunma,Tourist souvenir shops,53.4519
Gunma,Accomodation facilities,4.0641
Gunma,Supermarkets,59.5264
Gunma,Convenience stores,88.7221
Gunma,Drugstores,57.6615
Gunma,Discount stores,25.0384
Gunma,Outlet malls,22.1101
Gunma,Commercial complexes in urban centers,15.6171
Gunma,Other shopping centers,15.4094
Gunma,Railway station boutiques,13.567
Gunma,Airport duty-free stores,59.5265
Gunma,Stores at a port of call by cruise ship,0.178
Gunma,Other,5.4863
Gunma,I did not go shopping.,0.7521
Saitama,Department stores,57.4676
Saitama,Consumer electronics stores,16.6424
Saitama,Fashion boutiques,30.5993
Saitama,100 Yen Shops,21.1599
Saitama,Service areas on expressways/Michi-no-eki (Road Stations),5.5471
Saitama,Tourist souvenir shops,42.006
Saitama,Accomodation facilities,1.9437
Saitama,Supermarkets,60.3791
Saitama,Convenience stores,89.7095
Saitama,Drugstores,63.9249
Saitama,Discount stores,28.3497
Saitama,Outlet malls,14.5657
Saitama,Commercial complexes in urban centers,12.135
Saitama,Other shopping centers,13.1183
Saitama,Railway station boutiques,11.4091
Saitama,Airport duty-free stores,64.8182
Saitama,Stores at a port of call by cruise ship,0.208
Saitama,Other,6.5069
Saitama,I did not go shopping.,0.2865
Chiba,Department stores,61.2034
Chiba,Consumer electronics stores,16.3226
Chiba,Fashion boutiques,29.9573
Chiba,100 Yen Shops,14.8649
Chiba,Service areas on expressways/Michi-no-eki (Road Stations),4.0885
Chiba,Tourist souvenir shops,42.9848
Chiba,Accomodation facilities,3.9026
Chiba,Supermarkets,50.7137
Chiba,Convenience stores,88.244
Chiba,Drugstores,54.2308
Chiba,Discount stores,29.6641
Chiba,Outlet malls,13.4061
Chiba,Commercial complexes in urban centers,14.683
Chiba,Other shopping centers,13.5715
Chiba,Railway station boutiques,10.3551
Chiba,Airport duty-free stores,62.2514
Chiba,Stores at a port of call by cruise ship,0.4719
Chiba,Other,4.0212
Chiba,I did not go shopping.,0.3397
Tokyo,Department stores,63.0493
Tokyo,Consumer electronics stores,17.4758
Tokyo,Fashion boutiques,31.7132
Tokyo,100 Yen Shops,14.8432
Tokyo,Service areas on expressways/Michi-no-eki (Road Stations),3.8077
Tokyo,Tourist souvenir shops,44.6052
Tokyo,Accomodation facilities,3.8375
Tokyo,Supermarkets,50.4686
Tokyo,Convenience stores,87.4702
Tokyo,Drugstores,53.0979
Tokyo,Discount stores,27.8488
Tokyo,Outlet malls,13.0311
Tokyo,Commercial complexes in urban centers,16.2511
Tokyo,Other shopping centers,13.087
Tokyo,Railway station boutiques,10.7773
Tokyo,Airport duty-free stores,57.5758
Tokyo,Stores at a port of call by cruise ship,0.4577
Tokyo,Other,3.8246
Tokyo,I did not go shopping.,0.404
Kanagawa,Department stores,62.8931
Kanagawa,Consumer electronics stores,19.098
Kanagawa,Fashion boutiques,32.5344
Kanagawa,100 Yen Shops,14.8556
Kanagawa,Service areas on expressways/Michi-no-eki (Road Stations),4.4544
Kanagawa,Tourist souvenir shops,50.4348
Kanagawa,Accomodation facilities,3.8727
Kanagawa,Supermarkets,51.6377
Kanagawa,Convenience stores,87.3535
Kanagawa,Drugstores,55.3148
Kanagawa,Discount stores,28.5398
Kanagawa,Outlet malls,14.1963
Kanagawa,Commercial complexes in urban centers,17.5148
Kanagawa,Other shopping centers,13.2047
Kanagawa,Railway station boutiques,11.5793
Kanagawa,Airport duty-free stores,58.4039
Kanagawa,Stores at a port of call by cruise ship,0.7617
Kanagawa,Other,4.4269
Kanagawa,I did not go shopping.,0.4209
Niigata,Department stores,56.8038
Niigata,Consumer electronics stores,16.7635
Niigata,Fashion boutiques,27.9075
Niigata,100 Yen Shops,15.5653
Niigata,Service areas on expressways/Michi-no-eki (Road Stations),9.9835
Niigata,Tourist souvenir shops,45.3303
Niigata,Accomodation facilities,4.6733
Niigata,Supermarkets,60.3682
Niigata,Convenience stores,88.2682
Niigata,Drugstores,60.8307
Niigata,Discount stores,18.7592
Niigata,Outlet malls,15.9235
Niigata,Commercial complexes in urban centers,11.2243
Niigata,Other shopping centers,10.0785
Niigata,Railway station boutiques,12.6589
Niigata,Airport duty-free stores,59.6151
Niigata,Stores at a port of call by cruise ship,0.7786
Niigata,Other,2.9462
Niigata,I did not go shopping.,0.7232
Toyama,Department stores,61.4952
Toyama,Consumer electronics stores,12.7538
Toyama,Fashion boutiques,20.69
Toyama,100 Yen Shops,9.8721
Toyama,Service areas on expressways/Michi-no-eki (Road Stations),23.5663
Toyama,Tourist souvenir shops,63.6062
Toyama,Accomodation facilities,7.5958
Toyama,Supermarkets,46.3915
Toyama,Convenience stores,85.5667
Toyama,Drugstores,70.6373
Toyama,Discount stores,31.1031
Toyama,Outlet malls,12.1792
Toyama,Commercial complexes in urban centers,12.5306
Toyama,Other shopping centers,9.2524
Toyama,Railway station boutiques,6.0634
Toyama,Airport duty-free stores,73.9782
Toyama,Stores at a port of call by cruise ship,0.119
Toyama,Other,1.2463
Toyama,I did not go shopping.,0.3707
Ishikawa,Department stores,63.4818
Ishikawa,Consumer electronics stores,16.8413
Ishikawa,Fashion boutiques,29.2102
Ishikawa,100 Yen Shops,13.7095
Ishikawa,Service areas on expressways/Michi-no-eki (Road Stations),12.3626
Ishikawa,Tourist souvenir shops,68.0126
Ishikawa,Accomodation facilities,5.5992
Ishikawa,Supermarkets,53.8808
Ishikawa,Convenience stores,85.0991
Ishikawa,Drugstores,54.0539
Ishikawa,Discount stores,29.0497
Ishikawa,Outlet malls,11.8654
Ishikawa,Commercial complexes in urban centers,19.5174
