Area of Visit,Places to Shop,Percentage
Kagawa,Service areas on expressways/Michi-no-eki (Road Stations),8.2817
Kagawa,Tourist souvenir shops,46.0035
Kagawa,Accomodation facilities,8.6812
Kagawa,Supermarkets,59.9058
Kagawa,Convenience stores,80.7556
Kagawa,Drugstores,60.5021
Kagawa,Discount stores,12.4547
Kagawa,Outlet malls,10.9458
Kagawa,Commercial complexes in urban centers,21.3683
Kagawa,Other shopping centers,15.7502
Kagawa,Railway station boutiques,11.6623
Kagawa,Airport duty-free stores,32.6678
Kagawa,Stores at a port of call by cruise ship,2.6587
Kagawa,Other,2.8588
Kagawa,I did not go shopping.,0.9215
Ehime,Department stores,59.0808
Ehime,Consumer electronics stores,17.8776
Ehime,Fashion boutiques,16.7575
Ehime,100 Yen Shops,13.2209
Ehime,Service areas on expressways/Michi-no-eki (Road Stations),15.5723
Ehime,Tourist souvenir shops,59.0078
Ehime,Accomodation facilities,6.1521
Ehime,Supermarkets,66.6709
Ehime,Convenience stores,84.371
Ehime,Drugstores,62.4459
Ehime,Discount stores,12.3176
Ehime,Outlet malls,14.6538
Ehime,Commercial complexes in urban centers,18.9716
Ehime,Other shopping centers,14.7442
Ehime,Railway station boutiques,13.9008
Ehime,Airport duty-free stores,32.5474
Ehime,Stores at a port of call by cruise ship,2.5547
Ehime,Other,2.4585
Ehime,I did not go shopping.,0.9331
Kochi,Department stores,55.529
Kochi,Consumer electronics stores,17.3695
Kochi,Fashion boutiques,18
Kochi,100 Yen Shops,12.1719
Kochi,Service areas on expressways/Michi-no-eki (Road Stations),15.8522
Kochi,Tourist souvenir shops,61.0571
Kochi,Accomodation facilities,4.1072
Kochi,Supermarkets,61.1801
Kochi,Convenience stores,80.1295
Kochi,Drugstores,58.6356
Kochi,Discount stores,11.6187
Kochi,Outlet malls,14.1064
Kochi,Commercial complexes in urban centers,18.1995
Kochi,Other shopping centers,14.095
Kochi,Railway station boutiques,11.0878
Kochi,Airport duty-free stores,27.059
Kochi,Stores at a port of call by cruise ship,9.6954
Kochi,Other,3.9442
Kochi,I did not go shopping.,0.5811
Fukuoka,Department stores,58.8767
Fukuoka,Consumer electronics stores,9.6594
Fukuoka,Fashion boutiques,18.2156
Fukuoka,100 Yen Shops,17.1161
Fukuoka,Service areas on expressways/Michi-no-eki (Road Stations),4.8706
Fukuoka,Tourist souvenir shops,23.9004
Fukuoka,Accomodation facilities,3.7561
Fukuoka,Supermarkets,46.459
Fukuoka,Convenience stores,87.0074
Fukuoka,Drugstores,58.1828
Fukuoka,Discount stores,37.2515
Fukuoka,Outlet malls,8.8038
Fukuoka,Commercial complexes in urban centers,28.5763
Fukuoka,Other shopping centers,16.0139
Fukuoka,Railway station boutiques,7.3916
Fukuoka,Airport duty-free stores,64.1618
Fukuoka,Stores at a port of call by cruise ship,0.8034
Fukuoka,Other,2.3216
Fukuoka,I did not go shopping.,0.611
Saga,Department stores,56.7853
Saga,Consumer electronics stores,7.3248
Saga,Fashion boutiques,15.2798
Saga,100 Yen Shops,16.8182
Saga,Service areas on expressways/Michi-no-eki (Road Stations),8.1601
Saga,Tourist souvenir shops,29.0044
Saga,Accomodation facilities,4.1857
Saga,Supermarkets,55.2528
Saga,Convenience stores,81.4488
Saga,Drugstores,63.7503
Saga,Discount stores,20.8976
Saga,Outlet malls,13.7896
Saga,Commercial complexes in urban centers,20.713
Saga,Other shopping centers,16.4674
Saga,Railway station boutiques,7.2512
Saga,Airport duty-free stores,53.2895
Saga,Stores at a port of call by cruise ship,0.8727
Saga,Other,1.7066
Saga,I did not go shopping.,0.5491
Nagasaki,Department stores,60.3664
Nagasaki,Consumer electronics stores,14.3782
Nagasaki,Fashion boutiques,18.285
Nagasaki,100 Yen Shops,18.3038
Nagasaki,Service areas on expressways/Michi-no-eki (Road Stations),8.2891
Nagasaki,Tourist souvenir shops,41.9428
Nagasaki,Accomodation facilities,4.2761
Nagasaki,Supermarkets,56.2995
Nagasaki,Convenience stores,82.4095
Nagasaki,Drugstores,59.0846
Nagasaki,Discount stores,20.0956
Nagasaki,Outlet malls,14.0237
Nagasaki,Commercial complexes in urban centers,17.8665
Nagasaki,Other shopping centers,13.8677
Nagasaki,Railway station boutiques,13.3515
Nagasaki,Airport duty-free stores,55.1189
Nagasaki,Stores at a port of call by cruise ship,3.0586
Nagasaki,Other,1.7673
Nagasaki,I did not go shopping.,0.134
Kumamoto,Department stores,58.9843
Kumamoto,Consumer electronics stores,13.9267
Kumamoto,Fashion boutiques,17.2735
Kumamoto,100 Yen Shops,17.4705
Kumamoto,Service areas on expressways/Michi-no-eki (Road Stations),11.1261
Kumamoto,Tourist souvenir shops,40.7265
Kumamoto,Accomodation facilities,4.971
Kumamoto,Supermarkets,58.5407
Kumamoto,Convenience stores,82.5816
Kumamoto,Drugstores,66.8755
Kumamoto,Discount stores,20.9364
Kumamoto,Outlet malls,12.7887
Kumamoto,Commercial complexes in urban centers,22.1607
Kumamoto,Other shopping centers,17.972
Kumamoto,Railway station boutiques,13.0646
Kumamoto,Airport duty-free stores,62.6235
Kumamoto,Stores at a port of call by cruise ship,1.4046
Kumamoto,Other,3.3714
Kumamoto,I did not go shopping.,0.2984
Oita,Department stores,53.7841
Oita,Consumer electronics stores,8.2047
Oita,Fashion boutiques,15.9609
Oita,100 Yen Shops,14.393
Oita,Service areas on expressways/Michi-no-eki (Road Stations),8.8134
Oita,Tourist souvenir shops,32.0752
Oita,Accomodation facilities,3.8174
Oita,Supermarkets,47.2689
Oita,Convenience stores,87.6132
Oita,Drugstores,60.1831
Oita,Discount stores,39.023
Oita,Outlet malls,8.8184
Oita,Commercial complexes in urban centers,29.2399
Oita,Other shopping centers,17.8504
Oita,Railway station boutiques,6.5
Oita,Airport duty-free stores,69.3189
Oita,Stores at a port of call by cruise ship,0.7785
Oita,Other,2.2391
Oita,I did not go shopping.,0.5299
Miyazaki,Department stores,65.1629
Miyazaki,Consumer electronics stores,11.8629
Miyazaki,Fashion boutiques,17.1442
Miyazaki,100 Yen Shops,20.9152
Miyazaki,Service areas on expressways/Michi-no-eki (Road Stations),11.1242
Miyazaki,Tourist souvenir shops,42.6419
Miyazaki,Accomodation facilities,5.0745
Miyazaki,Supermarkets,59.0807
Miyazaki,Convenience stores,71.9295
Miyazaki,Drugstores,64.2209
Miyazaki,Discount stores,10.6538
Miyazaki,Outlet malls,14.8533
Miyazaki,Commercial complexes in urban centers,19.4183
Miyazaki,Other shopping centers,15.5022
Miyazaki,Railway station boutiques,11.0564
Miyazaki,Airport duty-free stores,52.6641
Miyazaki,Stores at a port of call by cruise ship,1.3307
Miyazaki,Other,2.3902
Miyazaki,I did not go shopping.,0.692
Kagoshima,Department stores,57.357
Kagoshima,Consumer electronics stores,14.2748
Kagoshima,Fashion boutiques,15.6991
Kagoshima,100 Yen Shops,17.4015
Kagoshima,Service areas on expressways/Michi-no-eki (Road Stations),9.0019
Kagoshima,Tourist souvenir shops,39.8391
Kagoshima,Accomodation facilities,9.9555
Kagoshima,Supermarkets,61.6647
Kagoshima,Convenience stores,73.9082
Kagoshima,Drugstores,52.1316
Kagoshima,Discount stores,9.6674
Kagoshima,Outlet malls,11.3062
Kagoshima,Commercial complexes in urban centers,17.9694
Kagoshima,Other shopping centers,13.6594
Kagoshima,Railway station boutiques,12.4104
Kagoshima,Airport duty-free stores,39.1628
Kagoshima,Stores at a port of call by cruise ship,3.4823
Kagoshima,Other,0.9041
Kagoshima,I did not go shopping.,1.6226
Okinawa,Department stores,46.1214
Okinawa,Consumer electronics stores,10.4033
Okinawa,Fashion boutiques,12.3044
Okinawa,100 Yen Shops,13.5547
Okinawa,Service areas on expressways/Michi-no-eki (Road Stations),4.3658
Okinawa,Tourist souvenir shops,37.0045
Okinawa,Accomodation facilities,11.0259
Okinawa,Supermarkets,56.2722
Okinawa,Convenience stores,76.5196
Okinawa,Drugstores,64.2113
Okinawa,Discount stores,11.6074
Okinawa,Outlet malls,18.5265
Okinawa,Commercial complexes in urban centers,22.3436
Okinawa,Other shopping centers,21.3259
Okinawa,Railway station boutiques,2.7294
Okinawa,Airport duty-free stores,37.1456
Okinawa,Stores at a port of call by cruise ship,0.3195
Okinawa,Other,2.0545
Okinawa,I did not go shopping.,0.7914
Hokkaido Region,Department stores,53.5815
Hokkaido Region,Consumer electronics stores,10.7708
Hokkaido Region,Fashion boutiques,16.4663
Hokkaido Region,100 Yen Shops,10.5968
Hokkaido Region,Service areas on expressways/Michi-no-eki (Road Stations),10.7612
Hokkaido Region,Tourist souvenir shops,44.0608
Hokkaido Region,Accomodation facilities,8.7508
Hokkaido Region,Supermarkets,39.5661
Hokkaido Region,Convenience stores,71.9788
Hokkaido Region,Drugstores,56.0285
Hokkaido Region,Discount stores,17.5703
Hokkaido Region,Outlet malls,13.5988
Hokkaido Region,Commercial complexes in urban centers,19.7148
Hokkaido Region,Other shopping centers,9.0619
Hokkaido Region,Railway station boutiques,6.7339
Hokkaido Region,Airport duty-free stores,58.9344
Hokkaido Region,Stores at a port of call by cruise ship,0.7624
Hokkaido Region,Other,1.495
Hokkaido Region,I did not go shopping.,0.8755
Tohoku Region,Department stores,52.4752
Tohoku Region,Consumer electronics stores,17.338
Tohoku Region,Fashion boutiques,21.4829
Tohoku Region,100 Yen Shops,15.7009
Tohoku Region,Service areas on expressways/Michi-no-eki (Road Stations),13.9348
Tohoku Region,Tourist souvenir shops,49.0961
Tohoku Region,Accomodation facilities,8.9386
Tohoku Region,Supermarkets,62.4747
Tohoku Region,Convenience stores,83.3896
Tohoku Region,Drugstores,64.5905
Tohoku Region,Discount stores,17.2248
Tohoku Region,Outlet malls,17.2061
Tohoku Region,Commercial complexes in urban centers,19.5473
Tohoku Region,Other shopping centers,13.4832
Tohoku Region,Railway station boutiques,20.047
Tohoku Region,Airport duty-free stores,60.6471
Tohoku Region,Stores at a port of call by cruise ship,2.9046
Tohoku Region,Other,3.409
Tohoku Region,I did not go shopping.,0.7914
Kanto Region,Department stores,62.4537
Kanto Region,Consumer electronics stores,17.22
Kanto Region,Fashion boutiques,31.2109
Kanto Region,100 Yen Shops,14.7558
Kanto Region,Service areas on expressways/Michi-no-eki (Road Stations),4.0102
Kanto Region,Tourist souvenir shops,44.5755
Kanto Region,Accomodation facilities,3.8882
Kanto Region,Supermarkets,50.4128
Kanto Region,Convenience stores,87.2213
Kanto Region,Drugstores,53.0442
Kanto Region,Discount stores,27.5647
Kanto Region,Outlet malls,13.0521
Kanto Region,Commercial complexes in urban centers,16.193
Kanto Region,Other shopping centers,13.1057
Kanto Region,Railway station boutiques,10.6712
Kanto Region,Airport duty-free stores,57.7611
Kanto Region,Stores at a port of call by cruise ship,0.4659
Kanto Region,Other,3.7961
Kanto Region,I did not go shopping.,0.4466
Hokuriku-Shin'etsu Region,Department stores,59.4191
Hokuriku-Shin'etsu Region,Consumer electronics stores,16.1806
Hokuriku-Shin'etsu Region,Fashion boutiques,27.7995
Hokuriku-Shin'etsu Region,100 Yen Shops,13.2414
Hokuriku-Shin'etsu Region,Service areas on expressways/Michi-no-eki (Road Stations),11.6302
Hokuriku-Shin'etsu Region,Tourist souvenir shops,59.7896
Hokuriku-Shin'etsu Region,Accomodation facilities,5.3407
Hokuriku-Shin'etsu Region,Supermarkets,54.3505
Hokuriku-Shin'etsu Region,Convenience stores,86.376
Hokuriku-Shin'etsu Region,Drugstores,55.3092
Hokuriku-Shin'etsu Region,Discount stores,25.1437
Hokuriku-Shin'etsu Region,Outlet malls,16.9698
Hokuriku-Shin'etsu Region,Commercial complexes in urban centers,15.6449
Hokuriku-Shin'etsu Region,Other shopping centers,11.4727
Hokuriku-Shin'etsu Region,Railway station boutiques,13.0682
Hokuriku-Shin'etsu Region,Airport duty-free stores,57.7548
Hokuriku-Shin'etsu Region,Stores at a port of call by cruise ship,0.4081
Hokuriku-Shin'etsu Region,Other,3.1247
Hokuriku-Shin'etsu Region,I did not go shopping.,0.549
Chubu Region,Department stores,60.5682
Chubu Region,Consumer electronics stores,16.5309
Chubu Region,Fashion boutiques,26.6762
Chubu Region,100 Yen Shops,13.7478
Chubu Region,Service areas on expressways/Michi-no-eki (Road Stations),12.2127
Chubu Region,Tourist souvenir shops,54.5575
Chubu Region,Accomodation facilities,5.5115
Chubu Region,Supermarkets,48.6359
Chubu Region,Convenience stores,85.5241
Chubu Region,Drugstores,61.7611
Chubu Region,Discount stores,26.9619
Chubu Region,Outlet malls,17.9421
Chubu Region,Commercial complexes in urban centers,17.7282
Chubu Region,Other shopping centers,12.2012
Chubu Region,Railway station boutiques,9.6141
Chubu Region,Airport duty-free stores,67.5939
Chubu Region,Stores at a port of call by cruise ship,0.5395
Chubu Region,Other,3.0537
Chubu Region,I did not go shopping.,0.3061
Kinki Region,Department stores,66.0077
Kinki Region,Consumer electronics stores,17.3698
Kinki Region,Fashion boutiques,26.7429
Kinki Region,100 Yen Shops,16.2267
Kinki Region,Service areas on expressways/Michi-no-eki (Road Stations),3.7221
Kinki Region,Tourist souvenir shops,46.2348
Kinki Region,Accomodation facilities,5.3582
Kinki Region,Supermarkets,50.5268
Kinki Region,Convenience stores,88.175
Kinki Region,Drugstores,61.5611
Kinki Region,Discount stores,25.5097
Kinki Region,Outlet malls,13.43
Kinki Region,Commercial complexes in urban centers,21.9521
Kinki Region,Other shopping centers,14.3174
Kinki Region,Railway station boutiques,12.1181
Kinki Region,Airport duty-free stores,57.9004
Kinki Region,Stores at a port of call by cruise ship,0.5509
Kinki Region,Other,2.4121
Kinki Region,I did not go shopping.,0.2176
Chugoku Region,Department stores,58.875
Chugoku Region,Consumer electronics stores,19.1728
Chugoku Region,Fashion boutiques,27.2742
Chugoku Region,100 Yen Shops,19.2829
Chugoku Region,Service areas on expressways/Michi-no-eki (Road Stations),5.8526
Chugoku Region,Tourist souvenir shops,58.0756
Chugoku Region,Accomodation facilities,5.2478
Chugoku Region,Supermarkets,55.6454
Chugoku Region,Convenience stores,84.5312
Chugoku Region,Drugstores,44.3924
Chugoku Region,Discount stores,25.3495
Chugoku Region,Outlet malls,14.1699
Chugoku Region,Commercial complexes in urban centers,20.6152
Chugoku Region,Other shopping centers,15.1622
Chugoku Region,Railway station boutiques,17.5806
Chugoku Region,Airport duty-free stores,39.207
Chugoku Region,Stores at a port of call by cruise ship,1.9848
Chugoku Region,Other,4.1401
Chugoku Region,I did not go shopping.,0.8052
Shikoku Region,Department stores,55.9731
Shikoku Region,Consumer electronics stores,12.6666
Shikoku Region,Fashion boutiques,18.5319
Shikoku Region,100 Yen Shops,16.8728
Shikoku Region,Service areas on expressways/Michi-no-eki (Road Stations),9.5618
Shikoku Region,Tourist souvenir shops,48.7111
Shikoku Region,Accomodation facilities,7.7395
Shikoku Region,Supermarkets,58.9892
Shikoku Region,Convenience stores,81.7278
Shikoku Region,Drugstores,57.176
Shikoku Region,Discount stores,12.9499
Shikoku Region,Outlet malls,12.1601
Shikoku Region,Commercial complexes in urban centers,20.3441
Shikoku Region,Other shopping centers,15.7862
Shikoku Region,Railway station boutiques,12.0234
Shikoku Region,Airport duty-free stores,33.9026
Shikoku Region,Stores at a port of call by cruise ship,4.1565
Shikoku Region,Other,3.3661
Shikoku Region,I did not go shopping.,0.9697
Kyushu Region,Department stores,58.1812
Kyushu Region,Consumer electronics stores,9.6743
Kyushu Region,Fashion boutiques,18.1792
Kyushu Region,100 Yen Shops,17.0069
Kyushu Region,Service areas on expressways/Michi-no-eki (Road Stations),4.8695
Kyushu Region,Tourist souvenir shops,24.5045
Kyushu Region,Accomodation facilities,3.9978
Kyushu Region,Supermarkets,47.1259
Kyushu Region,Convenience stores,86.2547
Kyushu Region,Drugstores,57.5218
Kyushu Region,Discount stores,36.1869
Kyushu Region,Outlet malls,8.8915
Kyushu Region,Commercial complexes in urban centers,27.8869
Kyushu Region,Other shopping centers,15.779
Kyushu Region,Railway station boutiques,7.293
Kyushu Region,Airport duty-free stores,62.2366
Kyushu Region,Stores at a port of call by cruise ship,0.9035
Kyushu Region,Other,2.3739
Kyushu Region,I did not go shopping.,0.684
Okinawa Region,Department stores,46.1214
Okinawa Region,Consumer electronics stores,10.4033
Okinawa Region,Fashion boutiques,12.3044
Okinawa Region,100 Yen Shops,13.5547
Okinawa Region,Service areas on expressways/Michi-no-eki (Road Stations),4.3658
Okinawa Region,Tourist souvenir shops,37.0045
Okinawa Region,Accomodation facilities,11.0259
Okinawa Region,Supermarkets,56.2722
Okinawa Region,Convenience stores,76.5196
Okinawa Region,Drugstores,64.2113
Okinawa Region,Discount stores,11.6074
Okinawa Region,Outlet malls,18.5265
Okinawa Region,Commercial complexes in urban centers,22.3436
Okinawa Region,Other shopping centers,21.3259
Okinawa Region,Railway station boutiques,2.7294
Okinawa Region,Airport duty-free stores,37.1456
Okinawa Region,Stores at a port of call by cruise ship,0.3195
Okinawa Region,Other,2.0545
Okinawa Region,I did not go shopping.,0.7914
