Area of Visit,Port of Departure,Percentage
Ibaraki,New Chitose,0.3057
Ibaraki,Hakodate,0
Ibaraki,Aomori,0
Ibaraki,Sendai,0
Ibaraki,Ibaraki,19.3611
Ibaraki,Haneda,20.4743
Ibaraki,Narita,58.3145
Ibaraki,Komatsu,0
Ibaraki,Toyama,0
Ibaraki,Mt.Fuji Shizuoka,0
Ibaraki,Chubu,0.6697
Ibaraki,Kansai,0.8747
Ibaraki,Yonago,0
Ibaraki,Okayama,0
Ibaraki,Hiroshima,0
Ibaraki,Sakai Port,0
Ibaraki,Kanmon (Shimonoseki) Port,0
Ibaraki,Takamatsu,0
Ibaraki,Fukuoka,0
Ibaraki,Hakata Port,0
Ibaraki,Saga,0
Ibaraki,Izuhara Port,0
Ibaraki,Miyazaki,0
Ibaraki,Kagoshima,0
Ibaraki,Naha,0
Ibaraki,Other,0
Tochigi,New Chitose,0.1501
Tochigi,Hakodate,0
Tochigi,Aomori,0
Tochigi,Sendai,0.2129
Tochigi,Ibaraki,1.38
Tochigi,Haneda,31.0695
Tochigi,Narita,58.4148
Tochigi,Komatsu,0.0809
Tochigi,Toyama,0
Tochigi,Mt.Fuji Shizuoka,0.0045
Tochigi,Chubu,0.2437
Tochigi,Kansai,8.013
Tochigi,Yonago,0
Tochigi,Okayama,0
Tochigi,Hiroshima,0
Tochigi,Sakai Port,0
Tochigi,Kanmon (Shimonoseki) Port,0
Tochigi,Takamatsu,0.059
Tochigi,Fukuoka,0.3716
Tochigi,Hakata Port,0
Tochigi,Saga,0
Tochigi,Izuhara Port,0
Tochigi,Miyazaki,0
Tochigi,Kagoshima,0
Tochigi,Naha,0
Tochigi,Other,0
Gunma,New Chitose,0.3851
Gunma,Hakodate,0
Gunma,Aomori,0
Gunma,Sendai,0
Gunma,Ibaraki,0.5285
Gunma,Haneda,26.9245
Gunma,Narita,68.7938
Gunma,Komatsu,0.1085
Gunma,Toyama,0
Gunma,Mt.Fuji Shizuoka,0.0116
Gunma,Chubu,0.0912
Gunma,Kansai,3.1567
Gunma,Yonago,0
Gunma,Okayama,0
Gunma,Hiroshima,0
Gunma,Sakai Port,0
Gunma,Kanmon (Shimonoseki) Port,0
Gunma,Takamatsu,0
Gunma,Fukuoka,0
Gunma,Hakata Port,0
Gunma,Saga,0
Gunma,Izuhara Port,0
Gunma,Miyazaki,0
Gunma,Kagoshima,0
Gunma,Naha,0
Gunma,Other,0
Saitama,New Chitose,0.1894
Saitama,Hakodate,0
Saitama,Aomori,0
Saitama,Sendai,0
Saitama,Ibaraki,0.1226
Saitama,Haneda,24.4531
Saitama,Narita,71.8267
Saitama,Komatsu,0
Saitama,Toyama,0
Saitama,Mt.Fuji Shizuoka,0.0362
Saitama,Chubu,0.0938
Saitama,Kansai,3.1224
Saitama,Yonago,0
Saitama,Okayama,0.1559
Saitama,Hiroshima,0
Saitama,Sakai Port,0
Saitama,Kanmon (Shimonoseki) Port,0
Saitama,Takamatsu,0
Saitama,Fukuoka,0
Saitama,Hakata Port,0
Saitama,Saga,0
Saitama,Izuhara Port,0
Saitama,Miyazaki,0
Saitama,Kagoshima,0
Saitama,Naha,0
Saitama,Other,0
Chiba,New Chitose,0.2453
Chiba,Hakodate,0
Chiba,Aomori,0.0017
Chiba,Sendai,0.051
Chiba,Ibaraki,0.0741
Chiba,Haneda,7.4754
Chiba,Narita,82.0838
Chiba,Komatsu,0.0115
Chiba,Toyama,0.0013
Chiba,Mt.Fuji Shizuoka,0.0608
Chiba,Chubu,0.4665
Chiba,Kansai,9.2499
Chiba,Yonago,0
Chiba,Okayama,0.0038
Chiba,Hiroshima,0.0134
Chiba,Sakai Port,0
Chiba,Kanmon (Shimonoseki) Port,0
Chiba,Takamatsu,0
Chiba,Fukuoka,0.2143
Chiba,Hakata Port,0.0068
Chiba,Saga,0
Chiba,Izuhara Port,0
Chiba,Miyazaki,0
Chiba,Kagoshima,0.0017
Chiba,Naha,0.0387
Chiba,Other,0
Tokyo,New Chitose,0.3193
Tokyo,Hakodate,0.0047
Tokyo,Aomori,0.0025
Tokyo,Sendai,0.0604
Tokyo,Ibaraki,0.0652
Tokyo,Haneda,28.8829
Tokyo,Narita,57.8426
Tokyo,Komatsu,0.0101
Tokyo,Toyama,0.0204
Tokyo,Mt.Fuji Shizuoka,0.1014
Tokyo,Chubu,0.8258
Tokyo,Kansai,11.4486
Tokyo,Yonago,0
Tokyo,Okayama,0.0097
Tokyo,Hiroshima,0.0204
Tokyo,Sakai Port,0
Tokyo,Kanmon (Shimonoseki) Port,0.0028
Tokyo,Takamatsu,0.0133
Tokyo,Fukuoka,0.3056
Tokyo,Hakata Port,0.0081
Tokyo,Saga,0
Tokyo,Izuhara Port,0
Tokyo,Miyazaki,0
Tokyo,Kagoshima,0.0032
Tokyo,Naha,0.0532
Tokyo,Other,0
Kanagawa,New Chitose,0.1459
Kanagawa,Hakodate,0
