,Department stores,Consumer electronics stores,Fashion boutiques,100 Yen Shops,Service areas on expressways/Michi-no-eki (Road Stations),Tourist souvenir shops,Accomodation facilities,Supermarkets,Convenience stores,Drugstores,Discount stores,Outlet malls,Commercial complexes in urban centers,Other shopping centers,Railway station boutiques,Airport duty-free stores,Stores at a port of call by cruise ship,Other,I did not go shopping.
Ehime,59.1,17.9,16.8,13.2,15.6,59.0,6.2,66.7,84.4,62.4,12.3,14.7,19.0,14.7,13.9,32.5,2.6,2.5,0.9
Kochi,55.5,17.4,18.0,12.2,15.9,61.1,4.1,61.2,80.1,58.6,11.6,14.1,18.2,14.1,11.1,27.1,9.7,3.9,0.6
Fukuoka,58.9,9.7,18.2,17.1,4.9,23.9,3.8,46.5,87.0,58.2,37.3,8.8,28.6,16.0,7.4,64.2,0.8,2.3,0.6
Saga,56.8,7.3,15.3,16.8,8.2,29.0,4.2,55.3,81.4,63.8,20.9,13.8,20.7,16.5,7.3,53.3,0.9,1.7,0.5
Nagasaki,60.4,14.4,18.3,18.3,8.3,41.9,4.3,56.3,82.4,59.1,20.1,14.0,17.9,13.9,13.4,55.1,3.1,1.8,0.1
Kumamoto,59.0,13.9,17.3,17.5,11.1,40.7,5.0,58.5,82.6,66.9,20.9,12.8,22.2,18.0,13.1,62.6,1.4,3.4,0.3
Oita,53.8,8.2,16.0,14.4,8.8,32.1,3.8,47.3,87.6,60.2,39.0,8.8,29.2,17.9,6.5,69.3,0.8,2.2,0.5
Miyazaki,65.2,11.9,17.1,20.9,11.1,42.6,5.1,59.1,71.9,64.2,10.7,14.9,19.4,15.5,11.1,52.7,1.3,2.4,0.7
Kagoshima,57.4,14.3,15.7,17.4,9.0,39.8,10.0,61.7,73.9,52.1,9.7,11.3,18.0,13.7,12.4,39.2,3.5,0.9,1.6
Okinawa,46.1,10.4,12.3,13.6,4.4,37.0,11.0,56.3,76.5,64.2,11.6,18.5,22.3,21.3,2.7,37.1,0.3,2.1,0.8
Hokkaido Region,53.6,10.8,16.5,10.6,10.8,44.1,8.8,39.6,72.0,56.0,17.6,13.6,19.7,9.1,6.7,58.9,0.8,1.5,0.9
Tohoku Region,52.5,17.3,21.5,15.7,13.9,49.1,8.9,62.5,83.4,64.6,17.2,17.2,19.5,13.5,20.0,60.6,2.9,3.4,0.8
Kanto Region,62.5,17.2,31.2,14.8,4.0,44.6,3.9,50.4,87.2,53.0,27.6,13.1,16.2,13.1,10.7,57.8,0.5,3.8,0.4
Hokuriku-Shin'etsu Region,59.4,16.2,27.8,13.2,11.6,59.8,5.3,54.4,86.4,55.3,25.1,17.0,15.6,11.5,13.1,57.8,0.4,3.1,0.5
Chubu Region,60.6,16.5,26.7,13.7,12.2,54.6,5.5,48.6,85.5,61.8,27.0,17.9,17.7,12.2,9.6,67.6,0.5,3.1,0.3
Kinki Region,66.0,17.4,26.7,16.2,3.7,46.2,5.4,50.5,88.2,61.6,25.5,13.4,22.0,14.3,12.1,57.9,0.6,2.4,0.2
Chugoku Region,58.9,19.2,27.3,19.3,5.9,58.1,5.2,55.6,84.5,44.4,25.3,14.2,20.6,15.2,17.6,39.2,2.0,4.1,0.8
Shikoku Region,56.0,12.7,18.5,16.9,9.6,48.7,7.7,59.0,81.7,57.2,12.9,12.2,20.3,15.8,12.0,33.9,4.2,3.4,1.0
Kyushu Region,58.2,9.7,18.2,17.0,4.9,24.5,4.0,47.1,86.3,57.5,36.2,8.9,27.9,15.8,7.3,62.2,0.9,2.4,0.7
Okinawa Region,46.1,10.4,12.3,13.6,4.4,37.0,11.0,56.3,76.5,64.2,11.6,18.5,22.3,21.3,2.7,37.1,0.3,2.1,0.8
