Area of Visit,Sex/Age,Percentage
Kyushu Region,Male/60~69,3.7468
Kyushu Region,Male/70+,1.2109
Kyushu Region,Female/0~19,1.1387
Kyushu Region,Female/20~29,15.7353
Kyushu Region,Female/30~39,15.2952
Kyushu Region,Female/40~49,8.4769
Kyushu Region,Female/50~59,6.0814
Kyushu Region,Female/60~69,2.9241
Kyushu Region,Female/70+,0.922
Okinawa Region,Male/0~19,1.4029
Okinawa Region,Male/20~29,9.937
Okinawa Region,Male/30~39,17.9169
Okinawa Region,Male/40~49,11.2863
Okinawa Region,Male/50~59,5.4703
Okinawa Region,Male/60~69,3.2902
Okinawa Region,Male/70+,0.5801
Okinawa Region,Female/0~19,1.2016
Okinawa Region,Female/20~29,12.1699
Okinawa Region,Female/30~39,18.3061
Okinawa Region,Female/40~49,10.0019
Okinawa Region,Female/50~59,5.7688
Okinawa Region,Female/60~69,1.9122
Okinawa Region,Female/70+,0.756
