Area of Visit,Sex/Age,Percentage
Chiba,Male/60~69,1.8091
Chiba,Male/70+,0.5368
Chiba,Female/0~19,2.256
Chiba,Female/20~29,18.6942
Chiba,Female/30~39,14.2368
Chiba,Female/40~49,7.6054
Chiba,Female/50~59,4.5034
Chiba,Female/60~69,2.144
Chiba,Female/70+,0.4286
Tokyo,Male/0~19,2.2501
Tokyo,Male/20~29,19.4654
Tokyo,Male/30~39,16.3147
Tokyo,Male/40~49,7.271
Tokyo,Male/50~59,3.5738
Tokyo,Male/60~69,2.0947
Tokyo,Male/70+,0.5924
Tokyo,Female/0~19,2.0527
Tokyo,Female/20~29,18.0424
Tokyo,Female/30~39,13.9861
Tokyo,Female/40~49,7.2321
Tokyo,Female/50~59,4.4126
Tokyo,Female/60~69,2.1826
Tokyo,Female/70+,0.5293
Kanagawa,Male/0~19,1.7407
Kanagawa,Male/20~29,18.2474
Kanagawa,Male/30~39,16.758
Kanagawa,Male/40~49,7.1625
Kanagawa,Male/50~59,3.5249
Kanagawa,Male/60~69,2.8037
Kanagawa,Male/70+,1.0261
Kanagawa,Female/0~19,1.8072
Kanagawa,Female/20~29,16.6632
Kanagawa,Female/30~39,14.383
Kanagawa,Female/40~49,6.9684
Kanagawa,Female/50~59,5.0281
Kanagawa,Female/60~69,3.0642
Kanagawa,Female/70+,0.8227
Niigata,Male/0~19,1.482
Niigata,Male/20~29,11.9776
Niigata,Male/30~39,19.539
Niigata,Male/40~49,10.8416
Niigata,Male/50~59,5.566
Niigata,Male/60~69,3.0895
Niigata,Male/70+,0.5576
Niigata,Female/0~19,0.63
Niigata,Female/20~29,9.6251
Niigata,Female/30~39,15.3839
Niigata,Female/40~49,9.1914
Niigata,Female/50~59,8.3947
Niigata,Female/60~69,3.0509
Niigata,Female/70+,0.6706
Toyama,Male/0~19,0.8559
Toyama,Male/20~29,7.3322
Toyama,Male/30~39,10.245
Toyama,Male/40~49,8.2611
Toyama,Male/50~59,8.1526
Toyama,Male/60~69,6.1184
Toyama,Male/70+,1.9537
Toyama,Female/0~19,0.8779
Toyama,Female/20~29,7.954
Toyama,Female/30~39,12.2812
Toyama,Female/40~49,10.9972
Toyama,Female/50~59,12.2453
Toyama,Female/60~69,10.2305
Toyama,Female/70+,2.495
Ishikawa,Male/0~19,1.3415
Ishikawa,Male/20~29,12.8126
Ishikawa,Male/30~39,20.1949
Ishikawa,Male/40~49,8.1549
Ishikawa,Male/50~59,4.7809
Ishikawa,Male/60~69,4.638
Ishikawa,Male/70+,1.6966
Ishikawa,Female/0~19,0.7299
Ishikawa,Female/20~29,9.3876
Ishikawa,Female/30~39,10.9347
Ishikawa,Female/40~49,8.5331
Ishikawa,Female/50~59,7.4933
Ishikawa,Female/60~69,6.6398
Ishikawa,Female/70+,2.6622
Fukui,Male/0~19,0.3849
Fukui,Male/20~29,9.4808
Fukui,Male/30~39,15.2075
Fukui,Male/40~49,14.9533
Fukui,Male/50~59,7.6136
Fukui,Male/60~69,3.4575
Fukui,Male/70+,0
Fukui,Female/0~19,0.4033
Fukui,Female/20~29,6.5461
Fukui,Female/30~39,8.2767
Fukui,Female/40~49,13.9147
Fukui,Female/50~59,10.5746
Fukui,Female/60~69,8.5693
Fukui,Female/70+,0.6177
Yamanashi,Male/0~19,2.1539
Yamanashi,Male/20~29,16.0656
Yamanashi,Male/30~39,14.1475
Yamanashi,Male/40~49,7.8162
Yamanashi,Male/50~59,3.8748
Yamanashi,Male/60~69,2.7626
Yamanashi,Male/70+,0.8184
Yamanashi,Female/0~19,2.0142
Yamanashi,Female/20~29,14.9605
Yamanashi,Female/30~39,15.8378
Yamanashi,Female/40~49,9.1751
Yamanashi,Female/50~59,5.9337
Yamanashi,Female/60~69,3.7734
Yamanashi,Female/70+,0.6662
Nagano,Male/0~19,1.1732
Nagano,Male/20~29,13.2518
Nagano,Male/30~39,15.6167
Nagano,Male/40~49,8.3336
Nagano,Male/50~59,5.7662
Nagano,Male/60~69,4.8341
Nagano,Male/70+,1.2789
Nagano,Female/0~19,0.9107
Nagano,Female/20~29,10.8546
Nagano,Female/30~39,13.0661
Nagano,Female/40~49,9.7044
Nagano,Female/50~59,7.2621
Nagano,Female/60~69,6.0336
Nagano,Female/70+,1.9138
Gifu,Male/0~19,1.2624
Gifu,Male/20~29,10.4146
Gifu,Male/30~39,16.0674
Gifu,Male/40~49,8.1427
Gifu,Male/50~59,5.6948
Gifu,Male/60~69,4.7911
Gifu,Male/70+,1.5185
Gifu,Female/0~19,1.0314
Gifu,Female/20~29,9.6256
Gifu,Female/30~39,12.7855
Gifu,Female/40~49,10.2743
Gifu,Female/50~59,8.8108
Gifu,Female/60~69,7.7806
Gifu,Female/70+,1.8003
Shizuoka,Male/0~19,2.5562
Shizuoka,Male/20~29,13.6279
Shizuoka,Male/30~39,14.9954
Shizuoka,Male/40~49,8.6069
Shizuoka,Male/50~59,5.0403
Shizuoka,Male/60~69,4.3929
Shizuoka,Male/70+,1.12
Shizuoka,Female/0~19,1.3847
Shizuoka,Female/20~29,13.3306
Shizuoka,Female/30~39,13.2941
Shizuoka,Female/40~49,8.8332
Shizuoka,Female/50~59,7.1126
Shizuoka,Female/60~69,4.7002
Shizuoka,Female/70+,1.005
Aichi,Male/0~19,2.0848
Aichi,Male/20~29,12.8266
Aichi,Male/30~39,13.7661
Aichi,Male/40~49,8.5979
Aichi,Male/50~59,4.4881
Aichi,Male/60~69,3.6622
Aichi,Male/70+,0.9365
Aichi,Female/0~19,2.0037
Aichi,Female/20~29,12.6378
Aichi,Female/30~39,14.6661
Aichi,Female/40~49,10.2681
Aichi,Female/50~59,7.1639
Aichi,Female/60~69,5.7221
Aichi,Female/70+,1.1761
Mie,Male/0~19,1.9381
Mie,Male/20~29,8.5143
Mie,Male/30~39,11.3771
Mie,Male/40~49,11.0839
Mie,Male/50~59,6.056
Mie,Male/60~69,4.7091
Mie,Male/70+,1.4672
Mie,Female/0~19,1.3092
Mie,Female/20~29,9.3824
Mie,Female/30~39,15.4808
Mie,Female/40~49,11.9359
Mie,Female/50~59,8.7276
Mie,Female/60~69,6.5439
Mie,Female/70+,1.4744
Shiga,Male/0~19,1.744
Shiga,Male/20~29,15.4789
Shiga,Male/30~39,20.1508
Shiga,Male/40~49,10.6923
Shiga,Male/50~59,4.4913
Shiga,Male/60~69,3.9346
Shiga,Male/70+,0.3229
Shiga,Female/0~19,1.186
Shiga,Female/20~29,7.6645
Shiga,Female/30~39,12.0745
Shiga,Female/40~49,8.3085
Shiga,Female/50~59,7.984
Shiga,Female/60~69,5.455
Shiga,Female/70+,0.5129
Kyoto,Male/0~19,2.0042
Kyoto,Male/20~29,18.6114
Kyoto,Male/30~39,15.9813
Kyoto,Male/40~49,6.9453
Kyoto,Male/50~59,3.4406
Kyoto,Male/60~69,2.2653
Kyoto,Male/70+,0.6241
Kyoto,Female/0~19,1.7842
Kyoto,Female/20~29,18.9402
Kyoto,Female/30~39,14.1579
Kyoto,Female/40~49,7.6245
Kyoto,Female/50~59,4.649
Kyoto,Female/60~69,2.3598
Kyoto,Female/70+,0.6121
Osaka,Male/0~19,2.1362
Osaka,Male/20~29,18.4769
Osaka,Male/30~39,15.7699
Osaka,Male/40~49,7.0459
Osaka,Male/50~59,3.2934
Osaka,Male/60~69,1.9091
Osaka,Male/70+,0.5194
Osaka,Female/0~19,1.8726
Osaka,Female/20~29,19.1314
Osaka,Female/30~39,14.8822
Osaka,Female/40~49,8.0178
Osaka,Female/50~59,4.3832
Osaka,Female/60~69,2.0709
Osaka,Female/70+,0.4911
Hyogo,Male/0~19,1.7811
Hyogo,Male/20~29,16.1416
Hyogo,Male/30~39,16.0964
Hyogo,Male/40~49,7.9843
Hyogo,Male/50~59,3.8989
Hyogo,Male/60~69,3.4922
Hyogo,Male/70+,1.0767
Hyogo,Female/0~19,1.2771
Hyogo,Female/20~29,13.2741
Hyogo,Female/30~39,15.4292
Hyogo,Female/40~49,9.137
Hyogo,Female/50~59,6.182
Hyogo,Female/60~69,3.4915
Hyogo,Female/70+,0.7381
Nara,Male/0~19,1.7132
Nara,Male/20~29,18.7497
Nara,Male/30~39,16.5981
Nara,Male/40~49,6.848
Nara,Male/50~59,3.2609
Nara,Male/60~69,2.4664
Nara,Male/70+,0.7443
Nara,Female/0~19,1.7972
Nara,Female/20~29,17.5491
